"name","Col","IncA_C","IncB","IncFIA","IncFIB","IncFIC","IncFII","IncHI1","IncHI2","IncI1","IncI2","IncL","IncN","IncR","IncX1","IncX2","IncX3","IncX4","IncY"
"28099_1_168",1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"28099_1_169",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_171",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_172",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_173",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_175",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_176",0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"28099_1_177",1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"28099_1_179",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_18",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_180",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_181",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_185",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_187",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_188",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_189",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"28099_1_19",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_191",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"28099_1_192",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"28099_1_193",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_195",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_196",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"28099_1_199",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
